name,start,end,type
"Alb��niz, Isaac ",1860,1909,war
"Albinoni, Tomaso Giovanni ",1671,1751,war
"Arne, Thomas ",1710,1778,war
"Arnold, Malcolm ",1921,,war
"Arriaga, Juan Cris��stomo ",1806,1826,war
"Bach, Carl Philipp Emanuel ",1714,1788,war
"Bach, Johann Christian ",1735,1782,war
"Bach, Johann Sebastian ",1685,1750,war
"Balakirev, Mily ",1837,1910,war
"Barber, Samuel ",1910,1981,war
"Bart��k, Bel�� ",1881,1945,war
"Bax, Arnold ",1883,1953,war
"Beethoven, Ludwig Van ",1770,1827,war
"Bellini, Vincenzo ",1801,1835,war
"Berg, Alban ",1885,1935,war
"Berkeley, Lennox ",1903,1989,war
"Berlioz, Hector ",1803,1869,war
"Bernstein, Leonard ",1918,1990,war
"Berwald, Franz ",1796,1868,war
"Bizet, Georges ",1838,1875,war
"Bliss, Arthur ",1891,1975,war
"Bloch, Ernest ",1880,1959,war
"Boccherini, Luigi ",1743,1805,war
"Borodin, Alexander ",1833,1887,war
"Boyce, William ",1711,1779,war
"Brahms, Johannes ",1833,1897,war
"Brian, Havergal ",1876,1972,war
"Bridge, Frank ",1879,1941,war
"Britten, Benjamin ",1913,1976,war
"Bruch, Max ",1838,1920,war
"Bruckner, Anton ",1824,1896,war
"Busoni, Ferruccio ",1866,1924,war
"Butterworth, George ",1885,1916,war
"Canteloube de Caleret, Joseph ",1879,1957,war
"Carter, Elliott ",1908,2000,war
"Castelnuovo-Tedesco, Mario ",1895,1968,war
"Chabrier, Emmanuel ",1841,1894,war
"Charpentier, Marc-Antoine ",1645,1704,war
"Chausson, Ernest ",1855,1899,war
"Chopin, Fr��d��ric ",1810,1849,war
"Cimarosa, Domenico ",1749,1801,war
"Clementi, Muzio ",1752,1832,war
"Copland, Aaron ",1900,1990,war
"Corelli, Arcangelo ",1653,1713,war
"Couperin, Fran?ois ",1668,1733,war
"Debussy, Claude ",1862,1918,war
"Delibes, L��o ",1836,1891,war
"Delius, Frederick ",1862,1934,war
"Dohn��nyi, Ern? ",1877,1960,war
"Donizetti, Gaetano ",1797,1848,war
"Dukas, Paul ",1865,1935,war
Duparc ,1848,1933,war
"Dvor��k, Antonin ",1841,1904,war
"Elgar, Edward ",1857,1934,war
"Falla, Manuel de ",1876,1946,war
"Faur��, Gabriel ",1845,1924,war
"Field, John ",1782,1837,war
"Finzi, Gerald ",1901,1956,war
"Franck, C��sar ",1822,1890,war
"G��recki, Henryk Mikolaj ",1933,2000,war
"Gershwin, George ",1898,1937,war
"Glass, Philip ",1937,,war
"Glazunov, Alexander ",1865,1936,war
"Glinka, Mikhail ",1804,1857,war
"Gluck, Christoph Willibald Von ",1714,1787,war
"Goldmark, Karl ",1830,1915,war
"Gottschalk, Louis Moreau ",1829,1869,war
"Gounod, Charles ",1818,1893,war
"Granados, Enrique ",1867,1916,war
"Grieg, Edvard ",1843,1907,war
"Handel, George Frideric ",1685,1759,war
"Harty, Hamilton ",1879,1941,war
"Haydn, Joseph ",1732,1809,war
"Hindemith, Paul ",1895,1963,war
"Holst, Gustav ",1874,1934,war
"Honegger, Arthur ",1892,1955,war
"Howells, Herbert ",1892,1983,war
"Hummel, Hohann Nepomuk ",1778,1837,war
"Humperdinck, Engelbert ",1854,1921,war
"Ireland, John ",1879,1962,war
"Ives, Charles Edward ",1874,1954,war
"Jan��cek, Leos ",1854,1928,war
"Khachaturian, Aram ",1903,1978,war
"Kod��ly, Zolt��n ",1882,1967,war
"Lalo, Edouard ",1823,1892,war
"Lambert, Constant ",1905,1951,war
"Leoncavallo, Ruggiero ",1857,1919,war
"Liszt, Franz ",1811,1886,war
"Lloyd, George ",1913,,war
"Lully, Jean-Baptiste ",1632,1687,war
"Lutoslawski, Witold ",1913,1994,war
"MacDowell, Edward ",1860,1908,war
"Mahler, Gustav ",1860,1911,war
"Martin, Frank ",1890,1974,war
"Martinu, Bohuslav ",1890,1959,war
"Mascagni, Pietro ",1863,1945,war
"Massenet, Jules ",1842,1912,war
"Maxwell Davies, Peter ",1934,,war
"Mendelssohn, Felix ",1809,1847,war
"Menotti, Gian Carlo ",1911,,war
"Messiaen, Olivier ",1908,1992,war
"Meyerbeer, Giacomo ",1791,1864,war
"Milhaud, Darius ",1892,1974,war
"Mozart, Wolfgang Amadeus ",1756,1791,war
"Mussorgsky, Modest Petrovich ",1839,1881,war
"Nicolai, Otto ",1810,1849,war
"Nielsen, Carl ",1865,1931,war
"Offenbach, Jacques ",1819,1880,war
"Orff, Carl ",1895,1982,war
"Paganini, Niccol�� ",1782,1840,war
"Parry, Hubert ",1848,1918,war
"Penderecki, Krzysztof ",1933,,war
"Pergolesi, Giovanni Battista ",1710,1736,war
"Piston, Walter ",1894,1976,war
"Ponchielli, Amilcare ",1834,1886,war
"Poulenc, Francis ",1899,1963,war
"Prokofiev, Sergey ",1891,1953,war
"Puccini, Giacomo ",1858,1924,war
"Purcell, Henry ",1659,1695,war
"Rakhmaninov, Sergey ",1873,1943,war
"Rameau, Jean-Philippe ",1683,1764,war
"Ravel, Maurice ",1875,1937,war
"Respighi, Ottorino ",1879,1936,war
Rimsky-Korsakov ,1844,1908,war
"Rodrigo, Joaquin ",1901,1999,war
"Rossini, Gioacchino Antonio ",1792,1868,war
"Rubbra, Edmund ",1901,1986,war
"Saint-Sa?ns, Camille ",1835,1921,war
"Satie, Erik ",1866,1925,war
"Scarlatti, Domenico ",1685,1757,war
"Schnittke, Alfred ",1934,2000,war
"Schoenberg, Arnold ",1874,1951,war
"Schubert, Franz ",1797,1828,war
"Schumann, Robert ",1810,1856,war
"Scriabin, Alexander ",1872,1915,war
"Shostakovich, Dmitry ",1906,1975,war
"Sibelius, Jean ",1865,1957,war
"Smetana, Bedrich ",1824,1884,war
"Spohr, Ludwig -Louis ",1784,1859,war
"Stanford, Charles Villiers ",1852,1924,war
"Stockhausen, Karlheinz ",1928,,war
"Strauss I, Johann ",1804,1849,war
"Strauss II, Johann ",1825,1899,war
"Strauss, Edward ",1835,1916,war
"Strauss, Josef ",1827,1870,war
"Strauss, Richard ",1864,1949,war
"Stravinsky, Igor ",1882,1971,war
"Sullivan, Arthur ",1842,1900,war
"Szymanowski, Karol ",1882,1937,war
"Tavener, John ",1944,,war
"Tchaikovsky, Peter Ilycih ",1840,1893,war
"Telemann, Georg Philipp ",1681,1767,war
"Thomas, Ambroise ",1811,1896,war
"Thomson, Virgil ",1896,1989,war
"Tippett, Michael ",1905,1998,war
"Tubin, Eduard ",1905,1982,war
"Vaughan Williams, Ralph ",1872,1958,war
"Verdi, Giuseppe ",1813,1901,war
"Villa-Lobos, Heitor ",1887,1959,war
"Vivaldi, Antonio ",1678,1741,war
"Wagner, Richard ",1813,1883,war
"Walton, William ",1902,1983,war
"Warlock, Peter ",1894,1930,war
"Weber, Carl Maria Von ",1786,1826,war
"Webern, Anton Von ",1883,1945,war
"Weill, Kurt ",1900,1950,war
"Weinberger, Jaromir ",1896,1967,war
"Wesley, Samuel ",1766,1837,war
"Wieniawski, Henryk ",1835,1880,war
"Wolf, Hugo ",1860,1903,war
"Wolf-Ferrari, Ermanno ",1876,1948,war
"Zemlinsky, Alexander Von ",1871,1942,war
"Byrd, William ",1543,1623,war
"Monteverdi, Claudio ",1567,1643,war
"Palestrina, Giovanni Pierluigi da ",1525,1594,war
"Sch��tz, Heinrich ",1585,1672,war
"Tallis, Thomas ",1505,1585,war
"Weelkes, Thomas ",1575,1623,war
